overall,vote,reviewTime,reviewText,summary,text
4,5,2013/5/2,"i purchased this unit for our rv to replace an older am/fm/cassette tape unit.  i was looking for the cd and bluetooth capability as well as higher quality sound and this unit certainly delivers all of that.  i found the system for setting up the unit took some getting used to.  i believe this process would be simpler if alpine had provided 1 or 2 more buttons so there was less button multi-tasking.  it took several attempts to finally get a device recognized and connected on bluetooth.  so far, the receiver has linked to my ipad but refuses to link to my ipod touch or my cell phone.  it also took several attempts to update the receiver firmware but that was finally achieved.  the update has not solved the bluetooth device linking problem.  i plan to contact alpine tech support to see if they can resolve this issue.  overall, this is part of a new product line for alpine and it feels like i'm an early adopter working on the bleeding edge of a new product design.",receiver offers a lot of flexibility & complexity,"i purchased this unit for our rv to replace an older am/fm/cassette tape unit.  i was looking for the cd and bluetooth capability as well as higher quality sound and this unit certainly delivers all of that.  i found the system for setting up the unit took some getting used to.  i believe this process would be simpler if alpine had provided 1 or 2 more buttons so there was less button multi-tasking.  it took several attempts to finally get a device recognized and connected on bluetooth.  so far, the receiver has linked to my ipad but refuses to link to my ipod touch or my cell phone.  it also took several attempts to update the receiver firmware but that was finally achieved.  the update has not solved the bluetooth device linking problem.  i plan to contact alpine tech support to see if they can resolve this issue.  overall, this is part of a new product line for alpine and it feels like i'm an early adopter working on the bleeding edge of a new product design. receiver offers a lot of flexibility & complexity"
1,2,2015/10/26,"i bought this and a viper alarm for my civic and took it to the shop to get it installed. they installed the alarm no issues.. the tilt sensor on the other hand was defective and didn't work no matter what they did. i ended up having to buy one from the shop, the one they hooked up works great. overall just disappointed with my purchase.",no good/ defective,"i bought this and a viper alarm for my civic and took it to the shop to get it installed. they installed the alarm no issues.. the tilt sensor on the other hand was defective and didn't work no matter what they did. i ended up having to buy one from the shop, the one they hooked up works great. overall just disappointed with my purchase. no good/ defective"
4,6,2008/12/21,"i rescue cats, and i have one that will have to stay with me forever because he's a sprayer. so periodically i have to scrub down doors and walls that he has peed on, and this does a good job of removing the odor, although it has a very strong antiseptic smell of its own that is not quite pleasant, but at least it's not pee, and it fades after awhile, unlike pee. one little bottle lasts me a long time since you mix a small amount with the water.","a different kind of strong odor, but it masks the pee","i rescue cats, and i have one that will have to stay with me forever because he's a sprayer. so periodically i have to scrub down doors and walls that he has peed on, and this does a good job of removing the odor, although it has a very strong antiseptic smell of its own that is not quite pleasant, but at least it's not pee, and it fades after awhile, unlike pee. one little bottle lasts me a long time since you mix a small amount with the water. a different kind of strong odor, but it masks the pee"
2,3,2010/10/8,"while i had no problem with the sound quality, i was only able to enjoy these headphones for a short bit.

the headphones were too tight from the start and quickly made my ears hurts.  it's even worse if you wear glasses as it causes your earpieces to dig into your skin from the pressure.

after a few short weeks of use the one of the tabs that hold the actually ear pieces in place broke.  these tabs that hold the ear pieces from moving are very small and it's amazing they even last more than a few days.",headphone tabs break easily,"while i had no problem with the sound quality, i was only able to enjoy these headphones for a short bit.

the headphones were too tight from the start and quickly made my ears hurts.  it's even worse if you wear glasses as it causes your earpieces to dig into your skin from the pressure.

after a few short weeks of use the one of the tabs that hold the actually ear pieces in place broke.  these tabs that hold the ear pieces from moving are very small and it's amazing they even last more than a few days. headphone tabs break easily"
3,3,2016/7/29,"the video quality is relatively low. looking back now i wish i would've not get this and safe the money to get a dji drone. this video camera is not useful. it cannot replace the video quality of an iphone. it's bulky so it's hard to put in your purse. exporting the video is a pain, the manual book is as thick as a bible. idk what people find so great about this camcorder.

i guess you can already tell that i use this mostly for traveling. however, i also use it to create videos and movies and this still doesn't beat most of cameras and camcorders out there. i have a sony nex-5tl mirrorless digital camera (or something a little bit below that) and it records better videos than this camcorder. the touchscreen is a pain in my bottom, it's like we're back in 2008.

there are better and cheaper video camera out there, or just get a smartphone all together.

the only positive thing i can say is that it looks cool and professional. when i'm using it people will look at me and become self-aware like i'm a videographer goddess. lol, anyways. decisions decisions","very basic, hard to use, bulky","the video quality is relatively low. looking back now i wish i would've not get this and safe the money to get a dji drone. this video camera is not useful. it cannot replace the video quality of an iphone. it's bulky so it's hard to put in your purse. exporting the video is a pain, the manual book is as thick as a bible. idk what people find so great about this camcorder.

i guess you can already tell that i use this mostly for traveling. however, i also use it to create videos and movies and this still doesn't beat most of cameras and camcorders out there. i have a sony nex-5tl mirrorless digital camera (or something a little bit below that) and it records better videos than this camcorder. the touchscreen is a pain in my bottom, it's like we're back in 2008.

there are better and cheaper video camera out there, or just get a smartphone all together.

the only positive thing i can say is that it looks cool and professional. when i'm using it people will look at me and become self-aware like i'm a videographer goddess. lol, anyways. decisions decisions very basic, hard to use, bulky"
1,0,2008/2/24,i'll never buy another samsung dvd product again.  completely stopped working after a year and a half.  costs as much to repair as to get a new product (not a samsung).  hope someone who works for samsung reads these (yeah right).,never again!,i'll never buy another samsung dvd product again.  completely stopped working after a year and a half.  costs as much to repair as to get a new product (not a samsung).  hope someone who works for samsung reads these (yeah right). never again!
1,3,2011/4/3,terrible and no where near the quality of bose,1301788800,terrible and no where near the quality of bose 1301788800
3,0,2014/1/21,the first one was heating up my galaxy note 3. the second one worked. hoping it works for a while.,first one was defective,the first one was heating up my galaxy note 3. the second one worked. hoping it works for a while. first one was defective
5,0,2015/7/25,bought several of them through the years and does what its supposed to.  i really like the length and the price of these things.,i really like the length and the price of these things,bought several of them through the years and does what its supposed to.  i really like the length and the price of these things. i really like the length and the price of these things
4,4,2011/2/8,"this is a very nice keyboard for someone who does not have a desk for their computer. i like it for the most part, touch pad works natively in both windows xp and in ubuntu 10.04 without having to install anything. of course nothing is perfect, there are a few negatives. once using windows xp, for some odd reason, the back button stopped working, but then when i booted into ubuntu, it worked fine, so i believe its a compatibility issue with xp. i managed to fix this with a reboot, and this problem has only happened once and never again. also once and a while the touch pad doesnt move as fast as it should, but after playing with the pad for a few seconds, it kind of ""wakes"" the mouse back up. anyway for the most park it works great, and i cant complain, i would def recommend it",adesso touchpad  keyboard review,"this is a very nice keyboard for someone who does not have a desk for their computer. i like it for the most part, touch pad works natively in both windows xp and in ubuntu 10.04 without having to install anything. of course nothing is perfect, there are a few negatives. once using windows xp, for some odd reason, the back button stopped working, but then when i booted into ubuntu, it worked fine, so i believe its a compatibility issue with xp. i managed to fix this with a reboot, and this problem has only happened once and never again. also once and a while the touch pad doesnt move as fast as it should, but after playing with the pad for a few seconds, it kind of ""wakes"" the mouse back up. anyway for the most park it works great, and i cant complain, i would def recommend it adesso touchpad  keyboard review"
